RowName,BBA_list
13_7_S1_ALDN,0.3513898370961778
13_7_S2_ALDN,0.29956935155587605
13_7_S3_ALDN,0.45027048016821825
13_7_S4_ALDN,0.5360997930696959
13_7_S5_ALDN,0.2503078121557424
13_7_SB1_ALD,0.5344501702840788
13_7_SB2_ALD,0.18796844613715846
13_7_SB3_ALD,0.5162032926304583
13_7_SB4_ALD,0.2240305614141914
13_7_SB5_ALD,0.5812578329180198
13_7_SB6_ALD,0.2718813432450185
14_7_S1_ALDN,0.31102718897225656
14_7_S3_ALDN,0.4251712333131078
14_7_S4_ALDN,0.5219060609331732
14_7_S5_ALDN,0.23491638588278857
14_7_SB10_AL,0.19913649390089547
14_7_SB1_ALD,0.21693477517838927
14_7_SB2_ALD,0.35055837165951736
14_7_SB3_ALD,0.31059321823538444
14_7_SB4_ALD,0.20010520966751671
14_7_SB5_ALD,0.2726164873700346
14_7_SB6_ALD,0.4212138842875276
14_7_SB7_ALD,0.4088299530740775
14_7_SB8_ALD,0.6443740844748133
14_7_SB9_ALD,0.29392435601351974
15_7_S1_ALDN,0.3831183001719037
15_7_S2_ALDN,0.37679216450840913
15_7_S3_ALDN,0.4651001250138358
15_7_S4_ALDN,0.5867785368018629
15_7_S5_ALDN,0.27408156321698995
15_7_SB1_ALD,0.5219668837307325
15_7_SB2_ALD,0.2823457214999848
15_7_SB3_ALD,0.23836032913260025
15_7_SB4_ALD,0.3505480247997991
15_7_SB5_ALD,0.5311574623570425
17_7_SB1_ALD,0.714749303748914
17_7_SB2_ALD,0.7159793573638303
20_7_SB1_ALD,0.37708164442219455
20_7_SB2_ALD,0.386545714215297
20_7_SB3_ALD,0.3618392768795995
20_7_SB4_ALD,0.42696169752137736
21_7_S1_ALDN,0.3307998056606811
21_7_S2_ALDN,0.45971540010829604
21_7_S3_ALDN,0.2958540969360231
21_7_S4_ALDD,0.555942480619394
21_7_S4_ALDN,0.5517271522885187
21_7_S5_ALDN,0.32288105611975637
21_7_SB10_AL,0.26644043049205834
21_7_SB1_ALD,0.1873255505655031
21_7_SB2_ALD,0.290020528312254
21_7_SB3_ALD,0.485366169822756
21_7_SB4_ALD,0.36434012712347863
21_7_SB5_ALD,0.3526694908861761
21_7_SB6_ALD,0.3158899281079878
21_7_SB7_ALD,0.2726324596454716
21_7_SB8_ALD,0.2989933481803393
21_7_SB9_ALD,0.47835874601811623
22_7_S1_ALDN,0.3561226037803073
22_7_S2_ALDN,0.439371597883743
22_7_S3_ALDN,0.24904479070202248
22_7_S4_ALDN,0.5604681941820867
22_7_S5_ALDN,0.28735726262232164
22_7_SB1_ALD,0.2942749539145014
22_7_SB2_ALD,0.34878712435882925
22_7_SB3_ALD,0.397372302738644
22_7_SB4_ALD,0.2440858589841728
22_7_SB5_ALD,0.24883480790168105
22_7_SB6_ALD,0.37156601375530685
22_7_SB7_ALD,0.34564477060364207
23_7_S1_ALDN,0.33541007891502567
23_7_S2_ALDN,0.36655167359488644
23_7_S3_ALDN,0.23616828085648883
23_7_S4_ALDN,0.5324889716888332
23_7_S5_ALDN,0.2645812585501757
23_7_SB1_ALD,0.5173174744623139
23_7_SB2_ALD,0.48096811618969176
23_7_SB3_ALD,0.23541905052802056
23_7_SB4_ALD,0.27084696886477655
23_7_SB5_ALD,0.27026552990232583
24_7_S1_ALDN,0.21948279640753882
24_7_S2_ALDN,0.39647686004490723
24_7_SB1_ALD,0.4101561145033643
24_7_SB2_ALD,0.2519158107771823
25_7_S1_ALDN,0.2866324889762538
25_7_S2_ALDN,0.2742439551048399
25_7_S3_ALDN,0.3118231459706772
25_7_S4_ALDN,0.30974798391152786
25_7_S5_ALDN,0.2530861803123915
