Cells_mL,Log_cells,BBA,Class
2687.5,3.4293484729,0.5344501703,LA
13375,4.1262937907,0.1879684461,HA
937.5,2.9719712764,0.5162032926,CI
4500,3.6532125138,0.2240305614,HA
0,0,0.5812578329,CI
5312.5,3.7252989431,0.2718813432,CI
30312.5,4.4816217559,0.2169347752,HA
3062.5,3.4860760974,0.3505583717,LA
7937.5,3.8996837383,0.3105932182,LA
17937.5,4.2537619141,0.2001052097,CI
41000,4.6127838567,0.2726164874,HA
0,0,0.4212138843,SN
12437.5,4.0947330938,0.4088299531,LA
0,0,0.6443740845,SN
21875,4.3399480617,0.293924356,LA
24875,4.3957630894,0.1991364939,HA
1437.5,3.1576078534,0.5219668837,CI
7250,3.8603380066,0.2823457215,CI
30312.5,4.4816217559,0.2383603291,HA
4250,3.6283889301,0.3505480248,LA
937.5,2.9719712764,0.5311574624,CI
0,0,0.7147493037,SN
0,0,0.7159793574,SN
11375,4.0559514053,0.3770816444,LA
7562.5,3.8786653877,0.3865457142,CI
7625,3.882239848,0.3618392769,LA
5875,3.7690078709,0.4269616975,CI
92250,4.9649663748,0.1873255506,HA
44861.1111111111,4.6518700259,0.2900205283,LA
750,2.8750612634,0.4853661698,CI
14312.5,4.1557154997,0.3643401271,LA
1062.5,3.0263289387,0.3526694909,CI
33229.1666666667,4.52151945,0.2726324596,HA
1187.5,3.0746336183,0.2989933482,CI
312.5,2.4948500217,0.478358746,CI
17562.5,4.2445863372,0.2664404305,HA
2187.5,3.3399480617,0.2942749539,LA
15312.5,4.1850461017,0.3487871244,LA
6687.5,3.825263795,0.3973723027,LA
57083.3333333333,4.7565093254,0.244085859,HA
22812.5,4.3581728818,0.2488348079,HA
19312.5,4.2858384968,0.3456447706,HA
250,2.3979400087,0.5173174745,CI
937.5,2.9719712764,0.4809681162,CI
8562.5,3.9326005845,0.2354190505,HA
21125,4.3247967176,0.2708469689,HA
28562.5,4.4557962174,0.2702655299,HA
1875,3.2730012721,0.4101561145,LA
13437.5,4.1283184773,0.2519158108,HA
