BBA,Class
0.5344501703,LA
0.1879684461,HA
0.5162032926,CI
0.2240305614,HA
0.5812578329,CI
0.2718813432,CI
0.2169347752,HA
0.3505583717,LA
0.3105932182,LA
0.2001052097,CI
0.2726164874,HA
0.4212138843,SN
0.4088299531,LA
0.293924356,LA
0.1991364939,HA
0.5219668837,CI
0.2823457215,CI
0.2383603291,HA
0.3505480248,LA
0.5311574624,CI
0.3770816444,LA
0.3865457142,CI
0.3618392769,LA
0.4269616975,CI
0.1873255506,HA
0.2900205283,LA
0.4853661698,CI
0.3643401271,LA
0.3526694909,CI
0.2726324596,HA
0.2989933482,CI
0.478358746,CI
0.2664404305,HA
0.2942749539,LA
0.3487871244,LA
0.3973723027,LA
0.244085859,HA
0.2488348079,HA
0.3456447706,HA
0.5173174745,CI
0.4809681162,CI
0.2354190505,HA
0.2708469689,HA
0.2702655299,HA
0.4101561145,LA
0.2519158108,HA
