Time,AirTemp,Humidity,WindDir,Windspeed,Radiation,Rainfall
0,0.33,80.915,151.9333333333,4.4066666667,171.6,0
100,-0.2816666667,80.515,151.5666666667,4.6633333333,91.2666666667,0
200,-1.8866666667,80.8066666667,137.9833333333,4.985,3.2666666667,0
300,-2.5203389831,78.106779661,139.4915254237,5.2491525424,2,0
400,-2.975,74.5066666667,141.4833333333,6.4916666667,3.7,0
500,-3.4783333333,72.1833333333,141.45,6.9583333333,9.0833333333,0
600,-3.9,71.2033333333,140.5166666667,7.265,68.4666666667,0
700,-3.713559322,69.1254237288,140.7288135593,7.5627118644,122.4406779661,0
800,-3.8483333333,68.2916666667,139.9,8.6833333333,190.7333333333,0
900,-3.7928571429,68.1761904762,139.9523809524,8.8214285714,203.119047619,0
1000,-2.425,68.1583333333,144.8333333333,9.2016666667,359.7,0
1100,-0.8716666667,67.6716666667,143.05,8.5983333333,452.3833333333,0
1200,0.3516666667,66.9383333333,144.2333333333,8.5333333333,530.05,0
1300,1.1283333333,68.1966666667,130.35,6.8933333333,497.1333333333,0.0033333333
1400,3.3466666667,71.0766666667,54.8166666667,0.3,194.5666666667,0
1500,3.7116666667,67.3033333333,76.5666666667,1.9066666667,341.3833333333,0
1600,1.8716666667,70.6233333333,135.2833333333,6.3783333333,681.95,0
1700,1.845,74.31,134.95,4.9866666667,663.7333333333,0
1800,1.8516666667,76.915,129.9166666667,4.8566666667,563,0
1900,1.7166666667,78.1883333333,139.2666666667,5.0583333333,470.8,0
2000,2.9166666667,75.9133333333,207.6833333333,3.1166666667,298.75,0
2100,1.2583333333,79.6716666667,145.05,5.0016666667,299.3333333333,0
2200,1.175,79.715,150.8333333333,5.2933333333,209.3833333333,0
2300,0.6866319444,77.9872569444,144.7262152778,5.2589930556,191.4425347222,3.47222222222222E-05
