WL,GRIS1628,GRIS1617,GRIS Mean
0.35,0.7228451256,0.7937228706,0.7582839981
0.36,0.7197624889,0.7909829956,0.7553727423
0.37,0.7179713228,0.7897237415,0.7538475322
0.38,0.7146674022,0.7881888244,0.7514281133
0.39,0.7126061805,0.7847918426,0.7486990116
0.4,0.7125682579,0.7843225476,0.7484454027
0.41,0.7114854309,0.7830498831,0.747267657
0.42,0.7117017015,0.7830699031,0.7473858023
0.43,0.7116841324,0.7829813097,0.747332721
0.44,0.7118351379,0.7830035774,0.7474193576
0.45,0.7119478784,0.7826977825,0.7473228304
0.46,0.7123737921,0.7836637003,0.7480187462
0.47,0.7127552505,0.7843845833,0.7485699169
0.48,0.7130005385,0.785055592,0.7490280653
0.49,0.7135925569,0.7858539952,0.749723276
0.5,0.7142327167,0.7863273598,0.7502800383
0.51,0.7148435966,0.7872603603,0.7510519785
0.52,0.7156301414,0.7880104281,0.7518202848
0.53,0.7163348562,0.7887929967,0.7525639264
0.54,0.7170131191,0.7894468591,0.7532299891
0.55,0.7177038291,0.7902390577,0.7539714434
0.56,0.7184914978,0.7909282386,0.7547098682
0.57,0.7191119293,0.7914136018,0.7552627656
0.58,0.7197110779,0.7919195289,0.7558153034
0.59,0.7201689185,0.7923707644,0.7562698415
0.6,0.7205735219,0.7927578242,0.756665673
0.61,0.7209243471,0.7931528195,0.7570385833
0.62,0.7212663192,0.7935134638,0.7573898915
0.63,0.7216080573,0.79390968,0.7577588686
0.64,0.7218517905,0.7942075183,0.7580296544
0.65,0.7220729096,0.7945365171,0.7583047133
0.66,0.7223236397,0.7948437376,0.7585836887
0.67,0.7224967833,0.795141732,0.7588192577
0.68,0.7227860955,0.7954178352,0.7591019654
0.69,0.7231404969,0.7957904535,0.7594654752
0.7,0.7239134471,0.7964412833,0.7601773652
0.71,0.7250895504,0.7974712854,0.7612804179
0.72,0.7269023811,0.7990046749,0.762953528
0.73,0.7290153682,0.8008233801,0.7649193742
0.74,0.7313955479,0.8028382869,0.7671169174
0.75,0.7337245888,0.8048945836,0.7693095862
0.76,0.736138627,0.8070951147,0.7716168709
0.77,0.7381330039,0.8087771489,0.7734550764
0.78,0.740021495,0.8105145852,0.7752680401
0.79,0.7416611811,0.8120096459,0.7768354135
0.8,0.7430625587,0.8133069279,0.7781847433
0.81,0.7442917326,0.814502724,0.7793972283
0.82,0.7454290308,0.8155562916,0.7804926612
0.83,0.7466151793,0.816565527,0.7815903531
0.84,0.7476100571,0.817414772,0.7825124146
0.85,0.748579405,0.8182690526,0.7834242288
0.86,0.7494995263,0.8190364973,0.7842680118
0.87,0.750297968,0.8198688064,0.7850833872
0.88,0.7512081003,0.8207413865,0.7859747434
0.89,0.7521379697,0.8215867293,0.7868623495
0.9,0.753057869,0.8226091187,0.7878334938
0.91,0.7539784527,0.8235651028,0.7887717778
0.92,0.7549799559,0.8246371436,0.7898085498
0.93,0.7563648966,0.8260255757,0.7911952361
0.94,0.7574866561,0.8274129707,0.7924498134
0.95,0.7587762145,0.82863211,0.7937041622
0.96,0.7599083781,0.8298526876,0.7948805329
0.97,0.7611577074,0.8311600526,0.79615888
0.98,0.7624404587,0.8327188918,0.7975796752
0.99,0.7636285542,0.8339985521,0.7988135532
1,0.7651777828,0.8357600839,0.8004689334
1.01,0.7657890875,0.8356342566,0.8007116721
1.02,0.7670447077,0.8369638611,0.8020042844
1.03,0.7681456921,0.8382778003,0.8032117462
1.04,0.7692268028,0.8395560488,0.8043914258
1.05,0.7703382988,0.8409193897,0.8056288443
1.06,0.7715469644,0.8422412548,0.8068941096
1.07,0.7726315148,0.8435323524,0.8080819336
1.08,0.7737212796,0.84472679,0.8092240348
1.09,0.7747180251,0.8460684094,0.8103932172
1.1,0.7758080593,0.847355033,0.8115815462
1.11,0.7769737669,0.8487086828,0.8128412248
1.12,0.7782143296,0.8501733929,0.8141938613
1.13,0.7793436876,0.8514649749,0.8154043312
1.14,0.7803478491,0.8526523993,0.8165001242
1.15,0.7811682591,0.8535969732,0.8173826162
1.16,0.7821402979,0.8547010525,0.8184206752
1.17,0.7833470013,0.8559636686,0.8196553349
1.18,0.784699753,0.8574641047,0.8210819289
1.19,0.7858982205,0.8588537221,0.8223759713
1.2,0.7868227829,0.8598611953,0.8233419891
1.21,0.7873483398,0.8605202214,0.8239342806
1.22,0.7876974027,0.8610292479,0.8243633253
1.23,0.7881138363,0.8615379922,0.8248259142
1.24,0.7886881504,0.8622126419,0.8254503961
1.25,0.7893488275,0.8630277926,0.8261883101
1.26,0.7900952551,0.8639831647,0.8270392099
1.27,0.7909144364,0.8649809394,0.8279476879
1.28,0.7918106484,0.8660438471,0.8289272477
1.29,0.7927128345,0.8671238883,0.8299183614
1.3,0.793706426,0.8682614099,0.830983918
1.31,0.7946508905,0.8694129108,0.8320319006
1.32,0.7957522393,0.870749365,0.8332508021
1.33,0.7968975308,0.8721726869,0.8345351089
1.34,0.7988609003,0.8745060861,0.8366834932
1.35,0.8016536323,0.877997864,0.8398257482
1.36,0.8046193798,0.8816544508,0.8431369153
1.37,0.8067547471,0.8842339403,0.8454943437
1.38,0.8076218321,0.8853420378,0.8464819349
1.39,0.80777581,0.8856936628,0.8467347364
1.4,0.807546709,0.8856062261,0.8465764676
1.41,0.8072064052,0.8853717565,0.8462890808
1.42,0.8071842675,0.8853476254,0.8462659465
1.43,0.8075015874,0.8856583892,0.8465799883
1.44,0.8079954536,0.8862009636,0.8470982086
1.45,0.8084579571,0.8866389719,0.8475484645
1.46,0.8089254089,0.8871334859,0.8480294474
1.47,0.8094550973,0.8877000153,0.8485775563
1.48,0.8100334304,0.888317585,0.8491755077
1.49,0.8105342733,0.8889248475,0.8497295604
1.5,0.8111477967,0.8895324357,0.8503401162
1.51,0.8117775882,0.8902012509,0.8509894196
1.52,0.8124127279,0.8909199719,0.8516663499
1.53,0.8130735297,0.8916802319,0.8523768808
1.54,0.8137418218,0.8924223467,0.8530820842
1.55,0.814442082,0.8931887584,0.8538154202
1.56,0.8150505941,0.8938736739,0.854462134
1.57,0.8156862262,0.8945842335,0.8551352298
1.58,0.8163556265,0.8953377961,0.8558467113
1.59,0.817081352,0.8960610588,0.8565712054
1.6,0.8178044572,0.8968993017,0.8573518795
1.61,0.8186283663,0.8978720359,0.8582502011
1.62,0.8196655702,0.899075022,0.8593702961
1.63,0.82085696,0.9004023347,0.8606296473
1.64,0.8222972671,0.9019860438,0.8621416555
1.65,0.8238917579,0.9038350851,0.8638634215
1.66,0.8255802586,0.905800731,0.8656904948
1.67,0.8275480741,0.9079505943,0.8677493342
1.68,0.8298453632,0.9104558189,0.8701505911
1.69,0.832168318,0.913127519,0.8726479185
1.7,0.834218066,0.9153223274,0.8747701967
1.71,0.8354652282,0.9168015007,0.8761333644
1.72,0.8360374303,0.9174810466,0.8767592384
1.73,0.8359468737,0.9173367495,0.8766418116
1.74,0.8354379635,0.9165803417,0.8760091526
1.75,0.8348050902,0.9157236276,0.8752643589
1.76,0.8341707483,0.914919789,0.8745452687
1.77,0.8337374847,0.9145396385,0.8741385616
1.78,0.8337349565,0.9145812729,0.8741581147
1.79,0.8341120466,0.9150687859,0.8745904163
1.8,0.8350020781,0.9162263364,0.8756142073
1.81,0.836521101,0.9174313096,0.8769762053
1.82,0.8383806311,0.920013032,0.8791968315
1.83,0.8400692252,0.9224101193,0.8812396722
1.84,0.8413294952,0.9242435807,0.882786538
1.85,0.8422162192,0.925527611,0.8838719151
1.86,0.8428222114,0.9264909427,0.884656577
1.87,0.8429193276,0.9269898735,0.8849546006
1.88,0.8424709121,0.9270591601,0.8847650361
1.89,0.8417825601,0.9270086331,0.8843955966
1.9,0.8413681077,0.9273039629,0.8843360353
1.91,0.8410001749,0.9273900255,0.8841951002
1.92,0.8406541538,0.9270939177,0.8838740358
1.93,0.8405705224,0.9268269779,0.8836987501
1.94,0.8409571874,0.9271358276,0.8840465075
1.95,0.8419868547,0.9281662278,0.8850765413
1.96,0.8434436429,0.9299078506,0.8866757467
1.97,0.8455091335,0.9324195511,0.8889643423
1.98,0.8481001504,0.935458965,0.8917795577
1.99,0.8509443998,0.9389526775,0.8949485387
2,0.8540656576,0.9426645747,0.8983651161
2.01,0.8571572112,0.9464759327,0.9018165719
2.02,0.8602808942,0.9502642924,0.9052725933
2.03,0.8630135037,0.9538320701,0.9084227869
2.04,0.8654724204,0.9566852274,0.9110788239
2.05,0.8674560606,0.9591121229,0.9132840918
2.06,0.8692091832,0.96113878,0.9151739816
2.07,0.870694173,0.963017227,0.9168557
2.08,0.8721131085,0.9647319075,0.918422508
2.09,0.8735933124,0.9665817572,0.9200875348
2.1,0.8752409653,0.9684275914,0.9218342784
2.11,0.8770256007,0.9706376905,0.9238316456
2.12,0.8787753196,0.9728377245,0.9258065221
2.13,0.8801007426,0.9744748812,0.9272878119
2.14,0.8802294699,0.9747315189,0.9274804944
2.15,0.8789459752,0.9732579093,0.9261019422
2.16,0.876764028,0.9706646631,0.9237143455
2.17,0.8738901504,0.9670872875,0.9204887189
2.18,0.87072739,0.9632534213,0.9169904056
2.19,0.8675866995,0.9595171701,0.9135519348
2.2,0.8654187839,0.9568483196,0.9111335518
2.21,0.8642796761,0.955301406,0.909790541
2.22,0.864094133,0.9548664472,0.9094802901
2.23,0.8648384606,0.9556520335,0.9102452471
2.24,0.8660685985,0.9567412207,0.9114049096
2.25,0.8675152339,0.9585092008,0.9130122173
2.26,0.869074317,0.9605078942,0.9147911056
2.27,0.8706841378,0.9622832893,0.9164837136
2.28,0.8720102147,0.9638569437,0.9179335792
2.29,0.8731109168,0.9653599889,0.9192354529
2.3,0.873775977,0.9665269148,0.9201514459
2.31,0.8747240086,0.9678050729,0.9212645407
2.32,0.8756594368,0.9695879978,0.9226237173
2.33,0.8772316419,0.9713803383,0.9243059901
2.34,0.8787318189,0.9736912927,0.9262115558
2.35,0.8797206954,0.974893617,0.9273071562
2.36,0.8810582663,0.9762648344,0.9286615503
2.37,0.8811771604,0.9771020874,0.9291396239
2.38,0.8815967345,0.9775375813,0.9295671579
2.39,0.8812196879,0.9777471127,0.9294834003
2.4,0.8820223427,0.9784508228,0.9302365827
2.41,0.8822093024,0.9779695265,0.9300894144
2.42,0.8824687208,0.9787901927,0.9306294568
2.43,0.8825606734,0.9793996247,0.9309801491
2.44,0.8817272046,0.9791774986,0.9304523516
2.45,0.8817447328,0.9786382198,0.9301914763
2.46,0.8802445359,0.9786735619,0.9294590489
2.47,0.8797304281,0.9791287226,0.9294295753
2.48,0.880669693,0.9791603664,0.9299150297
2.49,0.8803862002,0.9783522658,0.929369233
2.5,0.8809792891,0.9770018205,0.9289905548
